whisky galore!,compton mackenzie,farce
the kingdom of this world,alejo carpentier,magic realism
one arm,yasunari kawabata,magic realism
swamplandia!,karen russell,magic realism
the war of don emmanuel's nether parts,louis de berni„®res,magic realism
hombres de ma„≠z,miguel „Ångel asturias,magic realism
the troublesome offspring of cardinal guzman,louis de berni„®res,magic realism
a pele do ogro,miguel m. abrah„£o,magic realism
blackberry wine,joanne harris,magic realism
palestine,joe sacco,comics
like a velvet glove cast in iron,daniel clowes,comics
modesty blaise,peter o'donnell,comics
safe area goraÂæde,joe sacco,comics
a.d.: new orleans after the deluge,josh neufeld,comics
exit wounds,rutu modan,comics
down and out in paris and london,george orwell,autobiographical novel
in search of lost time,marcel proust,autobiographical novel
sons and lovers,d. h. lawrence,autobiographical novel
the bell jar,sylvia plath,autobiographical novel
empire of the sun,j. g. ballard,autobiographical novel
we the living,ayn rand,autobiographical novel
timequake,kurt vonnegut,autobiographical novel
i never promised you a rose garden,joanne greenberg,autobiographical novel
the english teacher,r. k. narayan,autobiographical novel
tender is the night,f. scott fitzgerald,autobiographical novel
tropic of cancer,henry miller,autobiographical novel
of human bondage,w. somerset maugham,autobiographical novel
the house of the spirits,isabel allende,autobiographical novel
roots: the saga of an american family,alex haley,autobiographical novel
balzac and the little chinese seamstress,dai sijie,autobiographical novel
suttree,cormac mccarthy,autobiographical novel
a death in the family,james agee,autobiographical novel
the longest journey,e. m. forster,autobiographical novel
ham on rye,charles bukowski,autobiographical novel
the short-timers,gustav hasford,autobiographical novel
the home and the world,rabindranath tagore,autobiographical novel
the best awful there is,carrie fisher,autobiographical novel
galatea 2.2,richard powers,autobiographical novel
the hill of dreams,arthur machen,autobiographical novel
the cancer ward,aleksandr solzhenitsyn,autobiographical novel
the kindness of women,j. g. ballard,autobiographical novel
chinese cinderella,adeline yen mah,autobiographical novel
fear and loathing in las vegas,hunter s. thompson,autobiographical novel
i put a spell on you,nina simone,autobiographical novel
joshua then and now,mordecai richler,autobiographical novel
the phantom blooper,gustav hasford,autobiographical novel
the great santini,pat conroy,autobiographical novel
so far from the bamboo grove,yoko kawashima watkins,autobiographical novel
the house that berry built,dornford yates,autobiographical novel
the circuit: stories from the life of a migrant child,francisco jimenez,autobiographical novel
iron & silk,mark salzman,autobiographical novel
daughter of earth,agnes smedley,autobiographical novel
the towers of trebizond,rose macaulay,autobiographical novel
richard yates,tao lin,autobiographical novel
city of god,paulo lins,autobiographical novel
the way of all flesh,samuel butler,autobiographical novel
just like that,lily brett,autobiographical novel
the lover,marguerite duras,autobiographical novel
go tell it on the mountain,james baldwin,autobiographical novel
papillon,henri charri„®re,autobiographical novel
nectar in a sieve,kamala purnaiya taylor,autobiographical novel
my father's glory,marcel pagnol,autobiographical novel
tonio kr„∂ger,thomas mann,autobiographical novel
the first man,albert camus,autobiographical novel
w ou le souvenir d'enfance,georges perec,autobiographical novel
outside providence,peter farrelly,autobiographical novel
las pel„≠culas de mi vida,alberto fuguet,autobiographical novel
delusions of grandma,carrie fisher,autobiographical novel
my mother's castle,marcel pagnol,autobiographical novel
the book of ebenezer le page,gerald basil edwards,autobiographical novel
youth: scenes from provincial life ii,john maxwell coetzee,autobiographical novel
ondskan,jan guillou,autobiographical novel
the arrangement,elia kazan,autobiographical novel
el „°rbol de la ciencia,p„≠o baroja,autobiographical novel
inferno,august strindberg,autobiographical novel
our lady of the assassins,fernando vallejo,autobiographical novel
north amerikkkan blues,evan x hyde,autobiographical novel
love and war in the apennines,eric newby,autobiographical novel
pity is not enough,josephine herbst,autobiographical novel
the pea-pickers,eve langley,autobiographical novel
wartime lies,louis begley,autobiographical novel
a small place in italy,eric newby,autobiographical novel
fateless,imre kert„©sz,autobiographical novel
feuchtgebiete,charlotte roche,autobiographical novel
things could be worse,lily brett,autobiographical novel
poil de carotte,jules renard,autobiographical novel
verukal,malayattoor ramakrishnan,autobiographical novel
peter & max: a fables novel,bill willingham,fantasy
crash,j. g. ballard,speculative fiction
stuart little,e. b. white,speculative fiction
the great divorce,c. s. lewis,speculative fiction
lord of the flies,william golding,speculative fiction
the eye of the world,robert jordan,speculative fiction
the great hunt,robert jordan,speculative fiction
a crown of swords,robert jordan,speculative fiction
winter's heart,robert jordan,speculative fiction
the transmigration of timothy archer,philip k. dick,speculative fiction
the magician's nephew,c. s. lewis,speculative fiction
the patchwork girl of oz,l. frank baum,speculative fiction
the wonderful wizard of oz,l. frank baum,speculative fiction
robinson crusoe,daniel defoe,speculative fiction
ishmael,daniel quinn,speculative fiction
watership down,richard adams,speculative fiction
a friend of the earth,t. coraghessan boyle,speculative fiction
liza of lambeth,w. somerset maugham,speculative fiction
the weirdstone of brisingamen,alan garner,speculative fiction
the robe,andrew greeley,speculative fiction
island of the sequined love nun,christopher moore,speculative fiction
rosemary's baby,ira levin,speculative fiction
shame,salman rushdie,speculative fiction
the crying of lot 49,thomas pynchon,speculative fiction
dreamcatcher,stephen king,speculative fiction
chitty chitty bang bang,ian fleming,speculative fiction
the children of men,p. d. james,speculative fiction
harry potter and the chamber of secrets,j. k. rowling,speculative fiction
kalimantaan,c. s. godshalk,speculative fiction
our man in havana,graham greene,speculative fiction
v.,thomas pynchon,speculative fiction
the rebel angels,robertson davies,speculative fiction
till we have faces,c. s. lewis,speculative fiction
the heart of the matter,graham greene,speculative fiction
the velveteen rabbit,margery williams,speculative fiction
the three musketeers,alexandre dumas,speculative fiction
travels with my aunt,graham greene,speculative fiction
nine princes in amber,roger zelazny,speculative fiction
the guns of avalon,roger zelazny,speculative fiction
sign of the unicorn,roger zelazny,speculative fiction
the hand of oberon,roger zelazny,speculative fiction
the courts of chaos,roger zelazny,speculative fiction
prince caspian,c. s. lewis,speculative fiction
trumps of doom,roger zelazny,speculative fiction
naked lunch,william s. burroughs,speculative fiction
a gift upon the shore,m. k. wren,speculative fiction
blood of amber,roger zelazny,speculative fiction
sign of chaos,roger zelazny,speculative fiction
prince of chaos,roger zelazny,speculative fiction
it,stephen king,speculative fiction
the amazing maurice and his educated rodents,terry pratchett,speculative fiction
the wee free men,terry pratchett,speculative fiction
bluebeard,kurt vonnegut,speculative fiction
the magic school bus lost in the solar system,joanna cole,speculative fiction
charlotte's web,e. b. white,speculative fiction
vineland,thomas pynchon,speculative fiction
amerika,franz kafka,speculative fiction
the quiet american,graham greene,speculative fiction
thursbitch,alan garner,speculative fiction
christine,stephen king,speculative fiction
siddhartha,hermann hesse,speculative fiction
gilgamesh the king,robert silverberg,speculative fiction
the emerald city of oz,l. frank baum,speculative fiction
the robber bride,margaret atwood,speculative fiction
the plague dogs,richard adams,speculative fiction
the road to oz,l. frank baum,speculative fiction
the last battle,c. s. lewis,speculative fiction
the soft machine,william s. burroughs,speculative fiction
the marvelous land of oz,l. frank baum,speculative fiction
ozma of oz,l. frank baum,speculative fiction
the tin woodman of oz,l. frank baum,speculative fiction
dorothy and the wizard in oz,l. frank baum,speculative fiction
tik-tok of oz,l. frank baum,speculative fiction
the scarecrow of oz,l. frank baum,speculative fiction
the chosen,chaim potok,speculative fiction
rinkitink in oz,l. frank baum,speculative fiction
the lost princess of oz,l. frank baum,speculative fiction
the magic of oz,l. frank baum,speculative fiction
glinda of oz,l. frank baum,speculative fiction
the wonderful adventures of nils,selma lagerl„∂f,speculative fiction
fifth business,robertson davies,speculative fiction
the once and future king,t. h. white,speculative fiction
the horse and his boy,c. s. lewis,speculative fiction
the story of the stone,barry hughart,speculative fiction
the mists of avalon,marion zimmer bradley,speculative fiction
the book of merlyn,t. h. white,speculative fiction
the voyage of the dawn treader,c. s. lewis,speculative fiction
the silver chair,c. s. lewis,speculative fiction
geek love,katherine dunn,speculative fiction
slow learner,thomas pynchon,speculative fiction
the monkey wrench gang,edward abbey,speculative fiction
silverlock,john myers myers,speculative fiction
the eye of argon,jim theis,speculative fiction
the satanic verses,salman rushdie,speculative fiction
the hellbound heart,clive barker,speculative fiction
them,joyce carol oates,speculative fiction
baudolino,umberto eco,speculative fiction
in the country of last things,paul auster,speculative fiction
pet sematary,stephen king,speculative fiction
rage,stephen king,speculative fiction
invisible monsters,chuck palahniuk,speculative fiction
the dragon reborn,robert jordan,speculative fiction
the fires of heaven,robert jordan,speculative fiction
the shadow rising,robert jordan,speculative fiction
hogfather,terry pratchett,speculative fiction
lord of chaos,robert jordan,speculative fiction
the power and the glory,graham greene,speculative fiction
the end of the affair,graham greene,speculative fiction
david boring,daniel clowes,speculative fiction
the fifth elephant,terry pratchett,speculative fiction
the confusion,neal stephenson,speculative fiction
moon palace,paul auster,speculative fiction
team yankee,harold coyle,speculative fiction
the edible woman,margaret atwood,speculative fiction
eight skilled gentlemen,barry hughart,speculative fiction
elidor,alan garner,speculative fiction
the mystery of edwin drood,charles dickens,speculative fiction
a hat full of sky,terry pratchett,speculative fiction
the witches,roald dahl,speculative fiction
the tin drum,g„ºnter grass,speculative fiction
crossroads of twilight,robert jordan,speculative fiction
the drifters,james a. michener,speculative fiction
the cay,theodore taylor,speculative fiction
the path of daggers,robert jordan,speculative fiction
one hundred years of solitude,gabriel garc„≠a m„°rquez,speculative fiction
the wanting seed,anthony burgess,speculative fiction
our mutual friend,charles dickens,speculative fiction
gal„°pagos,kurt vonnegut,speculative fiction
wizard's first rule,terry goodkind,speculative fiction
going postal,terry pratchett,speculative fiction
another roadside attraction,tom robbins,speculative fiction
a game of thrones,george r. r. martin,speculative fiction
a storm of swords,george r. r. martin,speculative fiction
a history of the world in 10‚Ω chapters,julian barnes,speculative fiction
the redemption of althalus,david eddings,speculative fiction
faerie tale,raymond e. feist,speculative fiction
green darkness,anya seton,speculative fiction
stig of the dump,clive king,speculative fiction
new spring,robert jordan,speculative fiction
giles goat-boy,john barth,speculative fiction
the intuitionist,colson whitehead,speculative fiction
polgara the sorceress,david eddings,speculative fiction
alphabet of thorn,patricia a. mckillip,speculative fiction
super-cannes,j. g. ballard,speculative fiction
a feast for crows,george r. r. martin,speculative fiction
summer of night,dan simmons,speculative fiction
first king of shannara,terry brooks,speculative fiction
assassin's apprentice,robin hobb,speculative fiction
assassin's quest,robin hobb,speculative fiction
the amazing adventures of kavalier & clay,michael chabon,speculative fiction
red shift,alan garner,speculative fiction
the magus,john fowles,speculative fiction
ragtime,e. l. doctorow,speculative fiction
a burnt-out case,graham greene,speculative fiction
needful things,stephen king,speculative fiction
artemis fowl: the arctic incident,eoin colfer,speculative fiction
hayduke lives,edward abbey,speculative fiction
lilith,george macdonald,speculative fiction
even cowgirls get the blues,gus van sant,speculative fiction
blindness,jos„© saramago,speculative fiction
the royal book of oz,ruth plumly thompson,speculative fiction
changing places,david lodge,speculative fiction
knife of dreams,robert jordan,speculative fiction
the alchymist's cat,robin jarvis,speculative fiction
the pillars of creation,terry goodkind,speculative fiction
cities of the red night,william s. burroughs,speculative fiction
blackwood farm,anne rice,speculative fiction
sputnik sweetheart,haruki murakami,speculative fiction
monstrous regiment,terry pratchett,speculative fiction
imajica,clive barker,speculative fiction
coldheart canyon,clive barker,speculative fiction
blood canticle,anne rice,speculative fiction
earthly powers,anthony burgess,speculative fiction
count karlstein,philip pullman,speculative fiction
the last of the really great whangdoodles,julie andrews,speculative fiction
tribes of redwall otters,brian jacques,speculative fiction
castaways of the flying dutchman,brian jacques,speculative fiction
rose madder,stephen king,speculative fiction
eaters of the dead,michael crichton,speculative fiction
the lyre of orpheus,robertson davies,speculative fiction
the clan of the cave bear,jean m. auel,speculative fiction
the ill-made knight,t. h. white,speculative fiction
my uncle oswald,roald dahl,speculative fiction
the twits,roald dahl,speculative fiction
george's marvelous medicine,roald dahl,speculative fiction
the giraffe and the pelly and me,roald dahl,speculative fiction
esio trot,roald dahl,speculative fiction
the vicar of nibbleswicke,roald dahl,speculative fiction
the lions of al-rassan,guy gavriel kay,speculative fiction
the stupidest angel,christopher moore,speculative fiction
the ghost writer,philip roth,speculative fiction
a little princess,frances hodgson burnett,speculative fiction
the spire,william golding,speculative fiction
lucky wander boy,d. b. weiss,speculative fiction
the black cauldron,lloyd alexander,speculative fiction
whirlwind,james clavell,speculative fiction
the magician,w. somerset maugham,speculative fiction
silas marner,george eliot,speculative fiction
the circus of dr. lao,charles g. finney,speculative fiction
naked empire,terry goodkind,speculative fiction
king rat,china mi„©ville,speculative fiction
roadwork,stephen king,speculative fiction
the wolf's hour,robert r. mccammon,speculative fiction
wicked: the life and times of the wicked witch of the west,gregory maguire,speculative fiction
deadeye dick,kurt vonnegut,speculative fiction
phantastes,george macdonald,speculative fiction
the unknown shore,donald malcolm,speculative fiction
rushing to paradise,j. g. ballard,speculative fiction
blood of elves,andrzej sapkowski,speculative fiction
stone of farewell,tad williams,speculative fiction
to green angel tower,tad williams,speculative fiction
haroun and the sea of stories,salman rushdie,speculative fiction
the gold bug variations,richard powers,speculative fiction
practical demonkeeping,christopher moore,speculative fiction
a night in the lonesome october,roger zelazny,speculative fiction
mao ii,don delillo,speculative fiction
the great and secret show,clive barker,speculative fiction
weaveworld,clive barker,speculative fiction
boy in darkness,mervyn peake,speculative fiction
cat's eye,margaret atwood,speculative fiction
fool's errand,robin hobb,speculative fiction
golden fool,robin hobb,speculative fiction
shaman's crossing,robin hobb,speculative fiction
vampire$,john steakley,speculative fiction
fool's fate,robin hobb,speculative fiction
ship of magic,robin hobb,speculative fiction
the infernal desire machines of doctor hoffman,angela carter,speculative fiction
